id,Name,Typ,Geschlecht,Fussballbezug,Rang,Geburtsjahr,Funktion
TH,Thomas Hitzlsperger,1,1,1,4,1982,1
TK,Tobias Keller,1,1,3,3,n/a,1
OS,Oliver Schraft,1,1,3,1,1967,1
CV,Claus Vogt,1,1,3,4,1969,2
WP,Wilfried Porth,1,1,3,2,1959,2
RA,Rainer Adrion,1,1,2,1,1953,2
HJ,Hartmut Jenner,1,1,3,1,1965,2
FR,Franz Reiner,1,1,3,1,1967,2
BS,Bertram Sugg,1,1,3,1,1966,2
VFBAG,VfB Stuttgart 1893 AG,2,n/a,4,n/a,n/a,n/a
VFBEV,VfB Stuttgart 1893 e.v.,2,n/a,4,n/a,n/a,n/a
NLZVFB,Nachwuchsleistungszentrum des VFB,2,n/a,4,n/a,n/a,n/a
DFL,Deutsche Fußball Liga e.v.,2,n/a,4,n/a,n/a,n/a
RBG,Robert Bosch GmbH,2,n/a,5,n/a,n/a,n/a
FPF,FC PlayFair! Verein für Integrität im Profifussball e.V.,2,n/a,4,n/a,n/a,n/a
DAG,Daimler AG,2,n/a,5,n/a,n/a,n/a
DBAG,Daimler-Benz AG,2,n/a,5,n/a,n/a,n/a
AK,Alfred Kaercher SE & Co. KG,2,n/a,5,n/a,n/a,n/a
MBB,Mercedes-Benz Bank,2,n/a,5,n/a,n/a,n/a
MBBAG,Mercedes-Benz Bank AG,2,n/a,5,n/a,n/a,n/a
DFSAG,Daimler Financial Services AG,2,n/a,5,n/a,n/a,n/a
DMAG,Daimler Mobility AG,2,n/a,5,n/a,n/a,n/a
D,Daimler,2,n/a,5,n/a,n/a,n/a
FCG,Fanclub Courage Gerlingen,2,n/a,4,n/a,n/a,n/a